date,temperature,humidity,luminosity
2020-12-03 16:20:55.716,19.2,18.9,49
2020-12-03 16:20:53.438,19.2,18.9,49
2020-12-03 16:20:51.161,19.2,19.0,49
2020-12-03 16:20:48.888,19.2,19.0,50
2020-12-03 16:20:46.611,19.2,19.0,50
2020-12-03 16:20:44.333,19.2,19.0,50
2020-12-03 16:20:42.060,19.2,19.0,50
2020-12-03 16:20:39.783,19.2,19.0,49
2020-12-03 16:20:37.505,19.2,19.0,49
2020-12-03 16:20:35.232,19.2,19.0,49
2020-12-03 16:20:32.955,19.2,19.0,49
2020-12-03 16:20:30.678,19.2,19.1,49
2020-12-03 16:20:28.404,19.2,19.1,50
2020-12-03 16:20:26.127,19.2,19.1,50
2020-12-03 16:20:23.850,19.2,19.1,49
2020-12-03 16:20:21.576,19.2,19.2,49
2020-12-03 16:20:19.299,19.2,19.3,49
2020-12-03 16:20:17.022,19.2,19.3,49
2020-12-03 16:20:14.749,19.2,19.3,49
2020-12-03 16:20:12.471,19.2,19.2,49
2020-12-03 16:20:10.198,19.2,19.2,49
2020-12-03 16:20:07.921,19.2,19.2,49
2020-12-03 16:20:05.647,19.2,19.2,49
2020-12-03 16:20:03.370,19.2,19.1,50
2020-12-03 16:20:01.092,19.2,19.1,50
2020-12-03 16:19:58.819,19.2,19.1,50
2020-12-03 16:19:56.542,19.2,19.0,49
2020-12-03 16:19:54.265,19.2,19.0,49
2020-12-03 16:19:51.991,19.2,19.0,50
2020-12-03 16:19:49.714,19.2,19.0,50
2020-12-03 16:19:47.441,19.2,19.0,50
2020-12-03 16:19:45.164,19.2,18.9,50
2020-12-03 16:19:42.886,19.2,18.9,50
2020-12-03 16:19:40.613,19.2,18.8,50
2020-12-03 16:19:38.336,19.2,18.8,50
2020-12-03 16:19:36.059,19.2,18.8,49
2020-12-03 16:19:33.785,19.3,18.9,49
2020-12-03 16:19:31.508,19.2,18.8,48
2020-12-03 16:19:29.231,19.2,18.8,46
2020-12-03 16:19:26.957,19.3,18.8,46
2020-12-03 16:19:24.680,19.3,18.8,46
2020-12-03 16:19:22.403,19.3,18.8,46
2020-12-03 16:19:20.129,19.3,18.8,46
2020-12-03 16:19:17.852,19.3,18.8,46
2020-12-03 16:19:15.575,19.3,18.8,46
2020-12-03 16:19:13.302,19.3,18.8,46
2020-12-03 16:19:11.024,19.3,18.8,46
2020-12-03 16:19:08.747,19.3,18.8,46
2020-12-03 16:19:06.474,19.3,18.8,46
2020-12-03 16:19:04.197,19.3,18.8,45
2020-12-03 16:19:01.924,19.3,18.8,45
2020-12-03 16:18:59.646,19.3,18.8,45
2020-12-03 16:18:57.369,19.4,18.9,45
2020-12-03 16:18:55.096,19.3,18.9,45
2020-12-03 16:18:52.819,19.4,19.0,46
2020-12-03 16:18:50.541,19.3,19.0,48
2020-12-03 16:18:48.268,19.3,19.0,47
2020-12-03 16:18:45.991,19.3,19.0,47
2020-12-03 16:18:43.713,19.3,19.1,48
2020-12-03 16:18:41.440,19.4,19.2,47
2020-12-03 16:18:39.163,19.4,19.2,45
2020-12-03 16:18:36.886,19.4,19.3,45
2020-12-03 16:18:34.612,19.4,19.3,45
2020-12-03 16:18:32.335,19.4,19.4,45
2020-12-03 16:18:30.062,19.3,19.3,45
2020-12-03 16:18:27.784,19.3,19.3,45
2020-12-03 16:18:25.511,19.4,19.4,45
2020-12-03 16:18:23.234,19.4,19.4,45
2020-12-03 16:18:20.957,19.3,19.3,45
2020-12-03 16:18:18.683,19.4,19.4,45
2020-12-03 16:18:16.406,19.3,19.3,45
2020-12-03 16:18:14.133,19.4,19.4,45
2020-12-03 16:18:11.856,19.3,19.4,45
2020-12-03 16:18:09.578,19.4,19.5,45
2020-12-03 16:18:07.305,19.3,19.4,45
